#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin SDensityColdAcc
108 3.90269 0 154.713 0 0 4.08662 6.46349e+09 1.65949e+10 1.03674e+08 2.70316e+08 630826 656807 7.43686e+08 0.00494917 2.70283e+14 0 0 282772 6.43868e+06 0.0612533 1.39473 inf 0.00901492 12 5.77637e+13
109 4.08662 0 143.132 0 0 4.27921 7.02712e+09 1.73194e+10 1.03674e+08 2.95661e+08 598529 667147 7.73686e+08 0.00544944 2.60836e+14 0 0 299216 6.59078e+06 0.0591123 1.30206 inf 0.00909688 12 5.50635e+13
110 4.27921 0 132.099 0 0 4.48088 7.63724e+09 1.80526e+10 1.03674e+08 3.23258e+08 567609 677429 8.04505e+08 0.00599774 2.5125e+14 0 0 316027 6.73057e+06 0.05694 1.21268 inf 0.00918005 12 5.23713e+13
111 4.48088 0 121.609 0 0 4.69206 8.29734e+09 1.87926e+10 1.03674e+08 3.53292e+08 538018 687642 8.36135e+08 0.00659836 2.41538e+14 0 0 333122 6.85604e+06 0.0547389 1.12659 inf 0.00926408 12 4.96931e+13
112 4.69206 0 111.649 0 0 4.91319 9.01114e+09 1.95376e+10 1.03674e+08 3.85962e+08 509712 697773 8.68569e+08 0.00725592 2.31712e+14 0 0 350402 6.96476e+06 0.0525122 1.04376 inf 0.00934857 12 4.70355e+13
113 4.91319 0 102.219 0 0 5.14474 9.78258e+09 2.02855e+10 1.03674e+08 4.21479e+08 482645 707809 9.01794e+08 0.00797546 2.21787e+14 0 0 367751 7.05522e+06 0.0502629 0.964282 inf 0.00943345 12 4.44047e+13
114 5.14474 0 93.3273 0 0 5.38721 1.06158e+10 2.10342e+10 1.03674e+08 4.60073e+08 456774 717737 9.35796e+08 0.00853157 2.11778e+14 0 0 385033 7.12702e+06 0.0479944 0.888386 inf 0.00951903 12 4.18076e+13
115 5.38721 0 84.9614 0 0 5.6411 1.15153e+10 2.17816e+10 1.03674e+08 5.01987e+08 432058 727544 9.70558e+08 0.00926782 2.017e+14 0 0 402090 7.17842e+06 0.0457106 0.816061 inf 0.00960508 12 3.92507e+13
116 5.6411 0 77.1131 0 0 5.90696 1.24857e+10 2.25254e+10 1.03674e+08 5.47481e+08 408456 737215 1.00606e+09 0.0100657 1.91572e+14 0 0 418745 7.20821e+06 0.0434153 0.747345 inf 0.00969154 12 3.67408e+13
117 5.90696 0 69.7703 0 0 6.18534 1.3532e+10 2.32632e+10 1.03674e+08 5.96835e+08 385927 746738 1.04228e+09 0.0109303 1.81411e+14 0 0 434792 7.215e+06 0.0411126 0.682228 inf 0.0097782 12 3.42844e+13
118 6.18534 0 62.9183 0 0 6.47685 1.46594e+10 2.39928e+10 1.03674e+08 6.50345e+08 364435 756097 1.07919e+09 0.011867 1.71237e+14 0 0 450003 7.19733e+06 0.0388069 0.620676 inf 0.00986479 12 3.18881e+13
119 6.47685 0 56.5399 0 0 6.78209 1.58732e+10 2.47117e+10 1.03674e+08 7.08328e+08 343940 765279 1.11677e+09 0.0128814 1.6107e+14 0 0 464122 7.15361e+06 0.0365027 0.562625 inf 0.00995094 12 2.95581e+13
120 6.78209 0 50.6199 0 0 7.10172 1.71794e+10 2.54174e+10 1.03674e+08 7.7112e+08 324408 774269 1.15497e+09 0.0139798 1.5093e+14 0 0 476863 7.08277e+06 0.0342048 0.508038 inf 0.0100363 12 2.73006e+13
121 7.10172 0 45.1371 0 0 7.43642 1.85839e+10 2.61074e+10 1.03674e+08 8.3908e+08 305802 783053 1.19377e+09 0.0151688 1.40839e+14 0 0 487912 6.98289e+06 0.0319179 0.456803 inf 0.0101203 12 2.51213e+13
122 7.43642 0 40.0753 0 0 7.78689 2.00931e+10 2.67791e+10 1.03674e+08 9.12589e+08 288088 791616 1.23312e+09 0.0164556 1.30819e+14 0 0 496922 6.85317e+06 0.0296471 0.40887 inf 0.0102025 12 2.30255e+13
123 7.78689 0 35.4157 0 0 8.15387 2.17135e+10 2.743e+10 1.03674e+08 9.92051e+08 271233 799944 1.27298e+09 0.0173831 1.20892e+14 0 0 503517 6.69254e+06 0.0273973 0.364153 inf 0.0102822 12 2.10181e+13
124 8.15387 0 31.1381 0 0 8.53815 2.3452e+10 2.80575e+10 1.03674e+08 1.07789e+09 255205 808023 1.31331e+09 0.0187744 1.1108e+14 0 0 507286 6.49982e+06 0.0251737 0.322548 inf 0.0103587 12 1.91034e+13
125 8.53815 0 27.2244 0 0 8.94054 2.53159e+10 2.8659e+10 1.03674e+08 1.17057e+09 239971 815838 1.35406e+09 0.020276 1.01406e+14 0 0 507787 6.27466e+06 0.0229813 0.283977 inf 0.010431 12 1.72851e+13
126 8.94054 0 23.6568 0 0 9.36189 2.73125e+10 2.92322e+10 1.03674e+08 1.27056e+09 225502 823375 1.39518e+09 0.0218969 9.18931e+13 0 0 504545 6.01707e+06 0.0208254 0.248358 inf 0.0104984 12 1.55663e+13
127 9.36189 0 20.4241 0 0 9.80311 2.94496e+10 2.97747e+10 1.03674e+08 1.37838e+09 211767 830621 1.4366e+09 0.0236463 8.25632e+13 0 0 497054 5.72984e+06 0.018711 0.215693 inf 0.0105607 12 1.39495e+13
128 9.80311 0 17.5073 0 0 10.2651 3.17352e+10 3.02847e+10 1.03674e+08 1.49455e+09 198737 837562 1.47829e+09 0.0255343 7.34388e+13 0 0 484778 5.41411e+06 0.0166432 0.185875 inf 0.010617 12 1.24361e+13
129 10.2651 0 14.8936 0 0 10.7489 3.41775e+10 3.07603e+10 1.03674e+08 1.61964e+09 186384 844184 1.52016e+09 0.0275719 6.45422e+13 0 0 467155 5.07403e+06 0.014627 0.158872 inf 0.0106671 12 1.10271e+13
130 10.7489 0 12.5701 0 0 11.2555 3.6785e+10 3.12005e+10 1.03674e+08 1.75424e+09 174681 850476 1.56216e+09 0.0297706 5.58952e+13 0 0 443600 4.71509e+06 0.0126673 0.134643 inf 0.0107114 12 9.72242e+12
131 11.2555 0 10.5327 0 0 11.7859 3.95664e+10 3.1605e+10 1.03674e+08 1.89899e+09 163601 856424 1.60423e+09 0.0321434 4.75201e+13 0 0 413518 4.34858e+06 0.0107693 0.113251 inf 0.0107522 12 8.52141e+12
132 11.7859 0 8.77388 0 0 12.3414 4.25308e+10 3.19744e+10 1.03674e+08 2.05453e+09 153118 862017 1.64629e+09 0.0347036 3.94392e+13 0 0 376310 3.98676e+06 0.00893798 0.094692 inf 0.0107925 12 7.4225e+12
133 12.3414 0 7.26666 0 0 12.923 4.56871e+10 3.23098e+10 1.03674e+08 2.22155e+09 143207 867244 1.68828e+09 0.037466 3.16769e+13 0 0 331405 3.63332e+06 0.00717882 0.0787041 inf 0.0108309 12 6.42337e+12
134 12.923 0.0400505 5.99594 0 0.0400505 13.5321 4.90449e+10 3.26133e+10 1.05702e+08 2.40078e+09 133844 872094 1.73013e+09 0.0404464 2.56941e+13 0 0 322009 3.30201e+06 0.00636154 0.0652336 0.158838 0.0108796 12 5.52098e+12
135 13.5321 0.405682 4.91367 0 0.405682 14.1698 5.26134e+10 3.28861e+10 1.28218e+08 2.59298e+09 125004 876557 1.77175e+09 0.0436617 2.19492e+13 0 0 578742 2.98239e+06 0.0104275 0.0537351 0.0257035 0.0109358 12 4.71163e+12
136 14.1698 0.740644 3.99843 0 0.740644 14.8376 5.64024e+10 3.31294e+10 1.73291e+08 2.79892e+09 116665 880625 1.81309e+09 0.0471303 1.86141e+13 0 0 862305 2.67064e+06 0.0141695 0.0438843 0.0191313 0.0109754 12 3.991e+12
137 14.8376 1.04391 3.22563 0 1.04391 15.5369 6.04216e+10 3.33446e+10 2.42948e+08 3.01945e+09 108804 884288 1.85406e+09 0.0508724 1.56663e+13 0 0 1.17224e+06 2.3696e+06 0.0175676 0.0355114 0.0168287 0.0110091 12 3.35425e+12
138 15.5369 1.3154 2.57822 0 1.3154 16.2691 6.46807e+10 3.35333e+10 3.3919e+08 3.25542e+09 101399 887541 1.89459e+09 0.0549086 1.30808e+13 0 0 1.5082e+06 2.08179e+06 0.0206135 0.0284532 0.015671 0.011036 12 2.79609e+12
139 16.2691 1.55586 2.04031 0 1.55586 17.0358 6.91896e+10 3.36969e+10 4.64008e+08 3.50772e+09 94430.6 890375 1.9346e+09 0.0592625 1.08315e+13 0 0 1.86998e+06 1.80942e+06 0.0233094 0.0225545 0.0149816 0.0110544 12 2.3109e+12
140 17.0358 1.76675 1.59722 0 1.76675 17.8387 7.39581e+10 3.38374e+10 6.19419e+08 3.7773e+09 87876.8 892786 1.97403e+09 0.062939 8.89111e+12 0 0 2.25763e+06 1.55426e+06 0.0256653 0.0176692 0.0145269 0.0110624 12 1.89282e+12
141 17.8387 1.95003 1.23552 0 1.95003 18.6794 7.89961e+10 3.39566e+10 8.07501e+08 4.06513e+09 81718.3 894768 2.01279e+09 0.0678915 7.23226e+12 0 0 2.67149e+06 1.31765e+06 0.0276979 0.0136613 0.0142038 0.0110571 12 1.53587e+12
142 18.6794 2.10815 0.943032 0 2.10815 19.5598 8.43134e+10 3.40563e+10 1.03045e+09 4.37222e+09 75936 896320 2.05082e+09 0.0732374 5.82758e+12 0 0 3.11221e+06 1.10049e+06 0.0294281 0.0104059 0.0139592 0.0110345 12 1.23402e+12
143 19.5598 2.24396 0.708826 0 2.24396 20.4816 8.99195e+10 3.41385e+10 1.29066e+09 4.69962e+09 70511.4 897437 2.08804e+09 0.0790086 4.65019e+12 0 0 3.58084e+06 903233 0.0308801 0.0077892 0.0137614 0.0109889 12 9.81322e+11
144 20.4816 2.36098 0.523191 0 2.36098 21.4469 9.58242e+10 3.42051e+10 1.59085e+09 5.04841e+09 65426.6 898119 2.12439e+09 0.0852391 3.67435e+12 0 0 4.07873e+06 725893 0.0320788 0.00570908 0.0135871 0.010912 12 7.71988e+11
145 21.4469 2.46465 0.377562 0 2.46465 22.4576 1.02037e+11 3.42577e+10 1.93446e+09 5.41973e+09 60664.3 898366 2.1598e+09 0.0919655 2.87669e+12 0 0 4.60706e+06 568081 0.0330459 0.00407478 0.013408 0.0107923 12 6.0048e+11
146 22.4576 2.56484 0.264362 0 2.56484 23.516 1.08566e+11 3.42981e+10 2.32653e+09 5.81475e+09 56207.8 898177 2.1942e+09 0.0992285 2.23679e+12 0 0 5.16548e+06 429070 0.0337913 0.00280686 0.0131748 0.0106175 12 4.61578e+11
147 23.516 2.67604 0.176947 0 2.67604 24.6243 1.15422e+11 3.43278e+10 2.77507e+09 6.23466e+09 52041.1 897557 2.22754e+09 0.10707 1.7342e+12 0 0 5.75094e+06 307859 0.0343109 0.00183673 0.0128215 0.0103801 12 3.50434e+11
148 24.6243 2.80872 0.109679 0 2.80872 25.7848 1.22612e+11 3.43479e+10 3.29127e+09 6.68073e+09 48148.6 896506 2.25976e+09 0.115538 1.34338e+12 0 0 6.36059e+06 203202 0.0346092 0.00110566 0.0123221 0.0100809 12 2.62621e+11
149 25.7848 2.95699 0.0580507 0 2.95699 27 1.30145e+11 3.43596e+10 3.88714e+09 7.15423e+09 44515.4 895030 2.29081e+09 0.124681 1.03454e+12 0 0 6.99903e+06 113582 0.0347321 0.000563639 0.0117458 0.00970943 12 1.94155e+11
150 27 3.10198 0.0184022 0 3.10198 28.2725 1.3803e+11 3.43637e+10 4.57254e+09 7.65651e+09 41127.2 893135 2.32064e+09 0.134555 7.53559e+11 0 0 7.68707e+06 37112.8 0.03479 0.000167964 0.0112154 0.00912741 12 1.41509e+11
151 28.2725 2.67631 0.00269905 0 2.67631 29.6049 1.46273e+11 3.43643e+10 5.22094e+09 8.18894e+09 37970.2 890826 2.34921e+09 0.147503 0 0 0 7.14002e+06 0 0.0294709 0 0.0110118 0 12 1.01612e+11
152 29.6049 1.81739 0 0 1.81739 31.0001 1.54882e+11 3.43643e+10 5.70373e+09 8.75293e+09 35031.2 888112 2.37648e+09 0.1591 0 0 0 5.34273e+06 0 0.0201121 0 0.0110665 nan 12 7.1834e+10
153 31.0001 1.21407 0 0 1.21407 32.4611 1.63863e+11 3.43643e+10 6.05736e+09 9.34994e+09 32297.5 885000 2.40242e+09 0.171599 0 0 0 3.93218e+06 0 0.0134998 0 0.0111194 nan 12 4.99592e+10
154 32.4611 0.797251 0 0 0.797251 33.991 1.73223e+11 3.43643e+10 6.31198e+09 9.98148e+09 29756.9 881502 2.42699e+09 0.185073 0 0 0 2.84432e+06 0 0.00890578 0 0.0111706 nan 12 3.41561e+10
155 33.991 0.514222 0 0 0.514222 35.5929 1.82968e+11 3.43643e+10 6.49206e+09 1.06491e+10 27398 877627 2.45018e+09 0.199597 0 0 0 2.02047e+06 0 0.00576961 0 0.0112201 nan 12 2.29371e+10
156 35.5929 0.325496 0 0 0.325496 37.2704 1.93103e+11 3.43643e+10 6.61704e+09 1.13544e+10 25209.5 873387 2.47197e+09 0.21525 0 0 0 1.40829e+06 0 0.00366764 0 0.0112678 nan 12 1.51167e+10
157 37.2704 0.202022 0 0 0.202022 39.0269 2.03632e+11 3.43643e+10 6.7021e+09 1.20991e+10 23180.9 868795 2.49235e+09 0.232121 0 0 0 962317 0 0.00228566 0 0.0113139 nan 12 9.76883e+09
158 39.0269 0.122832 0 0 0.122832 40.8662 2.14561e+11 3.43643e+10 6.75881e+09 1.28847e+10 21302.1 863865 2.51132e+09 0.250303 0 0 0 644066 0 0.00139516 0 0.0113583 nan 12 6.18432e+09
159 40.8662 0.0730902 0 0 0.0730902 42.7921 2.25891e+11 3.43643e+10 6.7958e+09 1.37132e+10 19563.5 858610 2.52887e+09 0.2699 0 0 0 421805 0 0.000833307 0 0.0114011 nan 12 3.83163e+09
160 42.7921 0.0425213 0 0 0.0425213 44.8088 2.37627e+11 3.43643e+10 6.8194e+09 1.45862e+10 17956.1 853046 2.54502e+09 0.291018 0 0 0 270038 0 0.000486539 0 0.0114423 nan 12 2.32101e+09
161 44.8088 0.0241597 0 0 0.0241597 46.9206 2.49771e+11 3.43643e+10 6.8341e+09 1.55057e+10 16471.2 847189 2.55979e+09 0.313777 0 0 0 168815 0 0.000277399 0 0.0114819 nan 12 1.37313e+09
162 46.9206 0.0133916 0 0 0.0133916 49.1319 2.62325e+11 3.43643e+10 6.84304e+09 1.64735e+10 15100.5 841055 2.57318e+09 0.338303 0 0 0 102942 0 0.000154271 0 0.01152 nan 12 7.925e+08
163 49.1319 0.00723313 0 0 0.00723313 51.4474 2.75289e+11 3.43643e+10 6.84833e+09 1.74917e+10 13836.3 834661 2.58523e+09 0.364731 0 0 0 61159.1 0 8.359e-05 0 0.0115565 nan 12 4.45696e+08
164 51.4474 0.00380226 0 0 0.00380226 53.8721 2.88665e+11 3.43643e+10 6.85138e+09 1.85623e+10 12671.2 828025 2.59596e+09 0.393213 0 0 0 35358.6 0 4.40746e-05 0 0.0115917 nan 12 2.43948e+08
165 53.8721 0.00194279 0 0 0.00194279 56.411 3.02452e+11 3.43643e+10 6.85309e+09 1.96875e+10 11598.4 821164 2.60542e+09 0.423902 0 0 0 19867.4 0 2.25858e-05 0 0.0116254 nan 12 1.29784e+08
166 56.411 0.000963605 0 0 0.000963605 59.0696 3.1665e+11 3.43643e+10 6.85402e+09 2.08694e+10 10611.3 814098 2.58639e+09 0.456972 0 0 0 10834.8 0 1.12335e-05 0 0.0116578 nan 12 6.70236e+07
167 59.0696 0.000463291 0 0 0.000463291 61.8534 3.31258e+11 3.43643e+10 6.85451e+09 2.21103e+10 9703.71 806844 2.51913e+09 0.492609 0 0 0 5727.07 0 5.41534e-06 0 0.0116889 nan 12 3.35513e+07
168 61.8534 0.000215603 0 0 0.000215603 64.7685 3.46275e+11 3.43643e+10 6.85476e+09 2.34127e+10 8869.88 799422 2.45263e+09 0.531007 0 0 0 2929.79 0 2.52657e-06 0 0.0117186 nan 12 1.62565e+07
169 64.7685 9.69691e-05 0 0 9.69691e-05 67.8209 3.61697e+11 3.43643e+10 6.85488e+09 2.4779e+10 8104.36 791851 2.33429e+09 0.585302 0 0 0 1448.35 0 1.13911e-06 0 0.0117472 nan 12 7.61228e+06
170 67.8209 4.20818e-05 0 0 4.20818e-05 71.0172 3.77523e+11 3.43643e+10 6.85494e+09 2.62117e+10 7402.06 784151 2.27988e+09 0.628429 0 0 0 690.787 0 4.95493e-07 0 0.0117745 nan 12 3.43932e+06
171 71.0172 1.75917e-05 0 0 1.75917e-05 74.3642 3.93748e+11 3.43643e+10 6.85497e+09 2.77136e+10 6758.2 776340 2.2262e+09 0.674655 0 0 0 317.339 0 2.07595e-07 0 0.0118007 nan 12 1.49682e+06
172 74.3642 7.07141e-06 0 0 7.07141e-06 77.8689 4.10371e+11 3.43643e+10 6.85498e+09 2.92875e+10 6168.32 768438 2.17332e+09 0.724201 0 0 0 140.167 0 8.36255e-08 0 0.0118259 nan 12 626382
173 77.8689 2.72829e-06 0 0 2.72829e-06 81.5387 4.27385e+11 3.43643e+10 6.85499e+09 3.09364e+10 5628.23 760465 2.12127e+09 0.777306 0 0 0 59.4173 0 3.23301e-08 0 0.0118499 nan 12 251581
174 81.5387 1.00837e-06 0 0 1.00837e-06 85.3815 4.44788e+11 3.43643e+10 6.85499e+09 3.26634e+10 5134.06 752440 2.07009e+09 0.834233 0 0 0 24.1262 0 1.19724e-08 0 0.011873 nan 12 96793.6
175 85.3815 3.56303e-07 0 0 3.56303e-07 89.4054 4.62573e+11 3.43643e+10 6.85499e+09 3.44716e+10 4682.17 744382 2.01983e+09 0.895259 0 0 0 9.36475 0 4.23828e-09 0 0.0118952 nan 12 35601.2
176 89.4054 1.20107e-07 0 0 1.20107e-07 93.6189 4.80736e+11 3.43643e+10 6.85499e+09 3.63647e+10 4269.18 736310 1.97052e+09 0.960679 0 0 0 3.46751 0 1.43124e-09 0 0.0119164 nan 12 12491.4
177 93.6189 3.85389e-08 0 0 3.85389e-08 98.0311 4.99271e+11 3.43643e+10 6.85499e+09 3.83461e+10 3891.96 728244 1.9222e+09 1.03082 0 0 0 1.22206 0 4.60028e-10 0 0.0119367 nan 12 4171.77
178 98.0311 1.17438e-08 0 0 1.17438e-08 102.651 5.18171e+11 3.43643e+10 6.85499e+09 4.04198e+10 3547.59 720201 1.87489e+09 1.10604 0 0 0 0.408988 0 1.40412e-10 0 0.0119563 nan 12 1323.07
179 102.651 3.3903e-09 0 0 3.3903e-09 107.489 5.37432e+11 3.43643e+10 6.85499e+09 4.25899e+10 3233.38 712200 1.82863e+09 1.18671 0 0 0 0.129664 0 4.05989e-11 0 0.011975 nan 12 397.504
180 107.489 9.24875e-10 0 0 9.24875e-10 112.555 5.57045e+11 3.43643e+10 6.85499e+09 4.48606e+10 2946.81 704259 1.763e+09 1.288 0 0 0 0.0388435 0 1.10921e-11 0 0.011993 nan 12 112.846
181 112.555 2.37785e-10 0 0 2.37785e-10 117.859 5.77005e+11 3.43643e+10 6.85499e+09 4.72367e+10 2685.58 696397 1.73491e+09 1.36955 0 0 0 0.010966 0 2.85588e-12 0 0.0120103 nan 12 30.1898
182 117.859 5.74553e-11 0 0 5.74553e-11 123.414 5.97305e+11 3.43643e+10 6.85499e+09 4.97229e+10 2447.55 688629 1.70727e+09 1.45628 0 0 0 0.00290934 0 6.91015e-13 0 0.012027 nan 12 7.59008
183 123.414 1.30092e-11 0 0 1.30092e-11 129.23 6.17936e+11 3.43643e+10 6.85499e+09 5.23247e+10 2230.74 680973 1.68008e+09 1.54858 0 0 0 0.000723257 0 1.5667e-13 0 0.012043 nan 12 1.78802
184 129.23 2.7518e-12 0 0 2.7518e-12 135.321 6.38893e+11 3.43643e+10 6.85499e+09 5.50475e+10 2033.33 673446 1.65335e+09 1.64687 0 0 0 0.000167963 0 3.31824e-14 0 0.0120584 nan 12 0.393468
185 135.321 5.42045e-13 0 0 5.42045e-13 141.698 6.60167e+11 3.43643e+10 6.85499e+09 5.78975e+10 1853.64 666063 1.62707e+09 1.7516 0 0 0 3.63218e-05 0 6.54427e-15 0 0.0120733 nan 12 0.0806233
186 141.698 9.90945e-14 0 0 9.90945e-14 148.376 6.81752e+11 3.43643e+10 6.85499e+09 6.08811e+10 1690.15 658841 1.60126e+09 1.86328 0 0 0 7.28949e-06 0 1.19782e-15 0 0.0120876 nan 12 0.0153309
187 148.376 1.67546e-14 0 0 1.67546e-14 155.369 7.03639e+11 3.43643e+10 6.85499e+09 6.40053e+10 1541.41 651794 1.57589e+09 1.98248 0 0 0 1.35293e-06 0 2.02754e-16 0 0.0121014 nan 12 0.00269586
188 155.369 2.61028e-15 0 0 2.61028e-15 162.691 7.25821e+11 3.43643e+10 6.85499e+09 6.72775e+10 1406.15 644939 1.55099e+09 2.10979 0 0 0 2.31371e-07 0 3.16229e-17 0 0.0121148 nan 12 0.000436769
189 162.691 3.73283e-16 0 0 3.73283e-16 170.358 7.4829e+11 3.43643e+10 6.85499e+09 7.07059e+10 1283.15 638288 1.52654e+09 2.24587 0 0 0 3.63178e-08 0 4.52703e-18 0 0.0121276 nan 12 6.49463e-05
190 170.358 4.88015e-17 0 0 4.88015e-17 178.387 7.71039e+11 3.43643e+10 6.85499e+09 7.42992e+10 1171.33 631856 1.50255e+09 2.39148 0 0 0 5.21147e-09 0 5.92452e-19 0 0.01214 nan 12 8.82772e-06
191 178.387 5.80814e-18 0 0 5.80814e-18 186.794 7.9406e+11 3.43643e+10 6.85499e+09 7.80669e+10 1069.69 625656 1.46338e+09 2.57464 0 0 0 6.80759e-10 0 7.05808e-20 0 0.012152 nan 12 1.09218e-06
192 186.794 6.26511e-19 0 0 6.26511e-19 195.598 8.17345e+11 3.43643e+10 6.85499e+09 8.20191e+10 977.3 619702 1.44883e+09 2.72789 0 0 0 8.05933e-11 0 7.62066e-21 0 0.0121636 nan 12 1.22454e-07
193 195.598 6.09671e-20 0 0 6.09671e-20 204.816 8.40886e+11 3.43643e+10 6.85499e+09 8.61671e+10 893.333 614007 1.43423e+09 2.89207 0 0 0 8.60728e-12 0 7.42265e-22 0 0.0121748 nan 12 1.2384e-08
194 204.816 5.32636e-21 0 0 5.32636e-21 214.469 8.64677e+11 3.43643e+10 6.85499e+09 9.05226e+10 817.019 608582 1.41959e+09 3.06821 0 0 0 8.25252e-13 0 6.49053e-23 0 0.0121857 nan 12 1.12422e-09
195 214.469 4.15649e-22 0 0 4.15649e-22 224.576 8.88709e+11 3.43643e+10 6.85499e+09 9.5099e+10 747.661 603440 1.40486e+09 3.25751 0 0 0 7.06733e-14 0 5.06931e-24 0 0.0121961 nan 12 9.1145e-11
196 224.576 2.88186e-23 0 0 2.88186e-23 235.16 9.12975e+11 3.43643e+10 6.85499e+09 9.99103e+10 684.621 598592 1.39007e+09 3.46121 0 0 0 5.37727e-15 0 3.51767e-25 0 0.0122062 nan 12 6.56435e-12
197 235.16 1.76543e-24 0 0 1.76543e-24 246.243 9.37468e+11 3.43643e+10 6.85499e+09 1.04972e+11 627.318 594050 1.37518e+09 3.68081 0 0 0 3.61482e-16 0 2.15665e-26 0 0.012216 nan 12 4.17642e-13
198 246.243 9.50005e-26 0 0 9.50005e-26 257.848 9.6218e+11 3.43643e+10 6.85499e+09 1.10301e+11 575.224 589824 1.36019e+09 3.9179 0 0 0 2.1345e-17 0 1.16142e-27 0 0.0122254 nan 12 2.33364e-14
199 257.848 4.46319e-27 0 0 4.46319e-27 270 9.87105e+11 3.43643e+10 6.85499e+09 1.10301e+11 0 0 0 0 0 0 0 1.10037e-18 0 5.46051e-29 0 0.0122345 nan 12 1.13821e-15
